dt,timestamp,temp,feels_like,humidity,pressure,wind_speed,weather,clouds,visibility
1751433304,2025-07-02 05:15:04,33.5,38.97,55,1008,5.28,多云,80,10000
1751433665,2025-07-02 05:21:05,33.73,38.81,53,1008,5.28,多云,80,10000
1751437935,2025-07-02 06:32:15,29.19,30.04,51,1007,5.14,阴，多云,95,10000
1751440838,2025-07-02 07:20:38,29.22,30.64,55,1008,5.14,阴，多云,95,10000
1751444956,2025-07-02 08:29:16,30.27,32.94,58,1007,6.58,多云,75,10000
1751448290,2025-07-02 09:24:50,30.5,34.04,61,1007,6.69,多云,72,10000
1751451799,2025-07-02 10:23:19,29.55,32,60,1007,6.2,多云,71,10000
1751455106,2025-07-02 11:18:26,29.13,31.75,63,1008,5.42,多云,72,10000
1751460168,2025-07-02 12:42:48,28.9,31.33,63,1009,4.09,晴，少云,16,10000
1751463182,2025-07-02 13:33:02,28.49,31.18,67,1009,3.71,晴，少云,14,10000
1751466033,2025-07-02 14:20:33,28.4,31.62,71,1009,3.71,晴，少云,14,10000
1751469769,2025-07-02 15:22:49,28.32,32.24,76,1009,3.16,晴，少云,14,10000
1751473608,2025-07-02 16:26:48,27.74,31.05,77,1009,2.83,晴，少云,13,10000
1751476748,2025-07-02 17:19:08,27.64,31.22,80,1009,2.58,晴，少云,15,10000
1751480827,2025-07-02 18:27:07,27.31,30.67,82,1008,1.23,多云,54,10000
1751483612,2025-07-02 19:13:32,27.02,29.78,80,1008,0.72,阴，多云,99,10000
1751487662,2025-07-02 20:21:02,26.93,29.68,81,1008,0.49,阴，多云,95,10000
1751491182,2025-07-02 21:19:42,27.02,30.17,84,1008,0.78,阴，多云,88,10000
1751494754,2025-07-02 22:19:14,26.94,29.98,84,1008,1.38,阴，多云,91,10000
1751498457,2025-07-02 23:20:57,27.51,31.29,83,1009,1.82,阴，多云,93,10000
1751507215,2025-07-03 01:46:55,30.71,35.22,64,1008,1.82,阴，多云,100,10000
1751512839,2025-07-03 03:20:39,32.05,37.5,61,1008,1.55,阴，多云,100,10000
1751517163,2025-07-03 04:32:43,35.25,42.1,52,1007,1.16,阴，多云,100,10000
1751520260,2025-07-03 05:24:20,35.16,42.16,57,1007,1.16,阴，多云,100,10000
1751524323,2025-07-03 06:32:03,32.59,35.75,51,1006,0.76,阴，多云,100,10000
1751527221,2025-07-03 07:20:21,32.74,36.63,53,1006,0.76,阴，多云,100,10000
1751531302,2025-07-03 08:28:22,30.38,32.16,53,1005,0.93,阴，多云,100,10000
1751534594,2025-07-03 09:23:14,31.46,34.8,56,1005,1.25,阴，多云,100,10000
1751538170,2025-07-03 10:22:50,31.48,35.62,59,1005,1.81,阴，多云,100,10000
1751541498,2025-07-03 11:18:18,30.83,34.02,58,1005,2.17,阴，多云,100,10000
1751546506,2025-07-03 12:41:46,29.68,32.42,61,1006,3.1,阴，多云,100,10000
1751549256,2025-07-03 13:27:36,29.5,32.27,62,1006,3.1,阴，多云,100,10000
1751552414,2025-07-03 14:20:14,28.87,32.27,69,1007,4.2,阴，多云,100,10000
1751556138,2025-07-03 15:22:18,28.54,31.43,68,1007,3.77,阴，多云,100,10000
1751560004,2025-07-03 16:26:44,27.98,31.03,73,1007,3.55,阴，多云,100,10000
1751563254,2025-07-03 17:20:54,27.86,30.92,74,1007,3.2,阴，多云,100,10000
1751567377,2025-07-03 18:29:37,28.46,31.9,72,1006,2.04,阴，多云,98,10000
1751570190,2025-07-03 19:16:30,28.19,31.93,76,1006,1.56,阴，多云,100,10000
1751574134,2025-07-03 20:22:14,28.13,31.8,76,1006,1.17,阴，多云,100,10000
1751577555,2025-07-03 21:19:15,27.98,31.6,77,1006,1.2,阴，多云,100,10000
1751581165,2025-07-03 22:19:25,27.9,31.7,79,1006,0.97,阴，多云,100,10000
1751584801,2025-07-03 23:20:01,28.33,32.77,79,1006,0.99,阴，多云,98,10000
1751593595,2025-07-04 01:46:35,31.86,36.46,59,1006,0.82,晴,7,10000
1751599119,2025-07-04 03:18:39,32.65,37.34,56,1006,0.45,晴,8,10000
1751603232,2025-07-04 04:27:12,33.46,38.2,53,1005,0.3,晴,7,10000
1751606587,2025-07-04 05:23:07,34.25,38.6,49,1005,1.09,晴，少云,12,10000
1751610726,2025-07-04 06:32:06,34.77,37.09,41,1003,2.27,阴，多云,99,10000
1751613683,2025-07-04 07:21:23,35.19,39.59,46,1003,2.27,阴，多云,99,10000
1751617695,2025-07-04 08:28:15,35.25,39.01,44,1002,2.96,阴，多云,91,10000
1751620971,2025-07-04 09:22:51,34.29,38.02,47,1002,3.31,阴，多云,93,10000
1751624542,2025-07-04 10:22:22,33.26,36.82,50,1002,2.87,阴，多云,92,10000
1751627908,2025-07-04 11:18:28,32.16,35.17,52,1002,4.3,阴，多云,91,10000
1751632922,2025-07-04 12:42:02,30.85,33.83,57,1004,4.2,阴，多云,97,10000
1751635910,2025-07-04 13:31:50,29.99,33.01,61,1004,5.05,多云,61,10000
1751638790,2025-07-04 14:19:50,29.81,33.48,65,1004,5.05,多云,61,10000
1751642461,2025-07-04 15:21:01,29.45,32.92,66,1004,4.99,多云,43,10000
1751646361,2025-07-04 16:26:01,29.26,32.35,65,1004,4.47,多云,33,10000
1751649485,2025-07-04 17:18:05,29.1,32.57,68,1004,3.65,多云,27,10000
1751653707,2025-07-04 18:28:27,28.85,32.05,68,1003,3.06,晴，少云,22,10000
1751656393,2025-07-04 19:13:13,28.67,31.69,68,1003,3.33,晴,4,10000
1751660525,2025-07-04 20:22:05,28.28,31.52,72,1003,3.32,晴,5,10000
1751663975,2025-07-04 21:19:35,28.16,31.12,71,1003,2.8,晴,4,10000
1751667575,2025-07-04 22:19:35,28.32,32.08,75,1004,2.01,晴,3,10000
1751671152,2025-07-04 23:19:12,29.29,33.99,73,1004,1.95,晴,4,10000
1751679752,2025-07-05 01:42:32,32.24,37.33,59,1005,1.47,晴,6,10000
1751685186,2025-07-05 03:13:06,32.83,38.4,58,1004,0.83,晴,6,10000
1751689634,2025-07-05 04:27:14,34.24,39.64,52,1003,0.74,晴,9,10000
1751692543,2025-07-05 05:15:43,34.7,41.14,53,1003,1.54,晴，少云,13,10000
1751696923,2025-07-05 06:28:43,34.87,38.9,46,1002,2.16,多云,47,10000
1751699940,2025-07-05 07:19:00,35.46,41.37,49,1001,2.53,多云,83,10000
1751703946,2025-07-05 08:25:46,35.14,40.23,48,1001,2.53,小雨,90,10000
1751707199,2025-07-05 09:19:59,34.4,41.4,60,1000,2.56,小雨,82,10000
1751710823,2025-07-05 10:20:23,33.36,39.7,58,1000,2.75,多云,78,10000
